cai_type,cai_subtype,name,address,city,state,zip,island,county,latitude,longitude
Higher Education,University,John A. Burns School of Medicine,651 Ilalo St,Honolulu,HI,96813,Oahu,Honolulu,21.29648246,-157.8636531
Higher Education,Community College,Kapiolani Community College,4303 Diamond Head Rd,Honolulu,HI,96816,Oahu,Honolulu,21.27044085,-157.8001737
Higher Education,Community College,Kauai Community College,3-1901 Kaumualii Highway,Lihue,HI,96766,Kauai,Kauai,21.96907466,-159.3963155
Higher Education,Education Center,Ko Education Center (North Hawaii Education and Research Center),45-539 Plumeria St,Honokaa,HI,96727,Hawaii,Hawaii,20.07705538,-155.4695826
Higher Education,Community College,Leeward Community College,96-045 Ala Ike St,Pearl City,HI,96782,Oahu,Honolulu,21.39307285,-157.9852275
Higher Education,Community Schools for Adults,McKinley Community School (MCSA),634 Pensacola Street,Honolulu,HI,96814,Oahu,Honolulu,21.29734545,-157.8474808
Higher Education,Community Schools for Adults,MCSA-Farrington Campus,1564 N. King Street,Honolulu,HI,96817,Oahu,Honolulu,21.33046601,-157.8730151
Higher Education,Community Schools for Adults,MCSA-Kauai Campus,"3607A Lala Road, P-12",Lihue,HI,96766,Kauai,Kauai,21.95898471,-159.3602713
Higher Education,Community Schools for Adults,MCSA-Maui Campus,179 W Kaahumanu Avenue,Kahului,HI,96732,Maui,Maui,20.88851641,-156.4718359
Higher Education,Community Schools for Adults,MCSA-Moanalua Campus,2825-A Ala Ilima Street,Honolulu,HI,96818,Oahu,Honolulu,21.34705663,-157.900123
Higher Education,Education Center,Molokai Education Center,"375 Kamehameha V Highway, PO Box 440",Kaunakakai,HI,96748,Molokai,Maui,21.08588329,-157.0132226
Higher Education,Education Center,Molokai Farm Education Center,"526 Huaai Road, PO Box 511",Hoolehua,HI,96729,Molokai,Maui,21.14026497,-157.0936036
Higher Education,Education Center,UHMC - Hana Education Center,"5101 Uakea Rd, Rm 10 & Rm 12, PO Box 70",Hana,HI,96713,Maui,Maui,20.75344019,-155.9840745
Higher Education,Education Center,UHMC - Lahaina Education Center,60 Kenui St,Lahaina,HI,96761,Maui,Maui,20.8816612,-156.6827062
Higher Education,Education Center,UHMC - Lanai Education Center,"329 7th Street, PO Box 630648",Lanai City,HI,96763,Lanai,Maui,20.82578543,-156.9209397
Higher Education,Community College,UHMC - Maui Community College,310 West Kaahumanu Avenue,Kahului,HI,96732,Maui,Maui,20.89049576,-156.4794949
Higher Education,University Center,University Center - Kauai,3-1901 Kaumualii Highway,Lihue,HI,96766,Kauai,Kauai,21.96907466,-159.3963155
Higher Education,University Center,University Center - Maui,310 West Kaahumanu Avenue,Kahului,HI,96732,Maui,Maui,20.89049576,-156.4794949
Higher Education,Education Center,University Center - West Hawaii,73-4225 Ane Keohokalole Highway,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.73967284,-156.0129202
Higher Education,University,University of Hawaii at Manoa,2500 Campus Road,Honolulu,HI,96822,Oahu,Honolulu,21.29998338,-157.81481
Higher Education,University,University of Hawaii Hilo,200 W. Kawili St,Hilo,HI,96720,Hawaii,Hawaii,19.69993645,-155.0853568
Higher Education,University,University of Hawaii West Oahu,91-1001 Farrington Hwy,Kapolei,HI,96707,Oahu,Honolulu,21.35570524,-158.0566835
Higher Education,Education Center,Waianae Moku Education Center,87-380 Kulaaupuni St,Waianae,HI,96792,Oahu,Honolulu,21.41895049,-158.1732263
Higher Education,Community Schools for Adults,Waipahu Community School (WCSA),94-1211 Farrington Highway,Waipahu,HI,96797,Oahu,Honolulu,21.38836584,-157.9933253
Higher Education,Community Schools for Adults,WCSA-Hilo Campus,155 W. Kawili St. P27,Hilo,HI,96720,Hawaii,Hawaii,19.69846368,-155.077101
Higher Education,Community Schools for Adults,WCSA-Kona Campus,"74-5062 Onipaa Street, F-2",Kailua-Kona,HI,96740,Hawaii,Hawaii,19.66928963,-155.9839686
Higher Education,Community Schools for Adults,WCSA-Wahiawa Campus,1515 California Avenue,Wahiawa,HI,96786,Oahu,Honolulu,21.50203436,-158.0133556
Higher Education,Community Schools for Adults,WCSA-Windward Campus,730 Iliaina Street,Kailua,HI,96734,Oahu,Honolulu,21.40908808,-157.7570821
